REF;LONGITUDE;LATITUDE;NOM1;NOM2;TYPE;OSM_ID;OSM_LON;OSM_LAT;OSM_NAME;DIFF_POS;DIFF_NOM;DIFF_NOM_CAP
1829;2.244081388;48.8339143;Marcel Sembat;BOULOGNE-BILLANCOURT;metro;29588070;2.2438908;48.8339081;Marcel Sembat;13;0;0
1831;2.360205843;48.89030206;Marx-Dormoy;PARIS-18EME;metro;249335596;2.3598783;48.8905035;Marx Dormoy;32;1;1
1834;2.34850343;48.84990867;Maubert-Mutualité;PARIS-05EME;metro;260078619;2.3487460;48.8499051;Maubert Mutualité;17;1;1
1754;2.383394279;48.86594881;Ménilmontant;PARIS-11EME;metro;243490761;2.3833323;48.8664900;Ménilmontant;60;0;0
1835;2.402969161;48.83670337;Michel Bizot;PARIS-12EME;metro;264482226;2.4024837;48.8371074;Michel Bizot;57;0;0
1836;2.264297442;48.84774035;Michel-Ange-Auteuil;PARIS-16EME;metro;260767427;2.2641872;48.8480038;Michel-Ange - Auteuil;30;1;1
1837;2.262047864;48.84486744;Michel-Ange-Molitor;PARIS-16EME;metro;260767428;2.2618802;48.8452505;Michel-Ange - Molitor;44;1;1
1746;2.27340596;48.84733964;Mirabeau;PARIS-16EME;metro;264538576;2.2728475;48.8470891;Mirabeau;49;0;0
1747;2.315199185;48.87370638;Miromesnil;PARIS-08EME;metro;260769652;2.3145456;48.8736768;Miromesnil;47;0;0
1749;2.308966242;48.88063067;Monceau;PARIS-08EME;metro;243496030;2.3094235;48.8805424;Monceau;34;0;0
1750;2.389802138;48.84425046;Montgallet;PARIS-12EME;metro;264481854;2.3899525;48.8444003;Montgallet;19;0;0
1751;2.322635051;48.84304285;Montparnasse-Bienvenue;PARIS-14EME;metro;1805529567;2.3209504;48.8420310;Montparnasse-Bienvenüe;166;1;1
1753;2.329426935;48.8313197;Mouton-Duvernet;PARIS-14EME;metro;220289385;2.3301258;48.8313954;Mouton-Duvernet;51;0;0
1758;2.395905744;48.84846575;Nation;PARIS-12EME;metro;241928557;2.3952136;48.8480229;Nation (ligne 1,2,6);70;1;1
1761;2.362045462;48.83271046;Nationale;PARIS-13EME;metro;235371394;2.3628662;48.8331919;Nationale;80;0;0
1767;2.33845371;48.8766257;Notre-Dame de Lorette;PARIS-09EME;metro;264495078;2.3385532;48.8760654;Notre-Dame de Lorette;62;0;0
1768;2.328852968;48.84491785;Notre-Dame des Champs;PARIS-06EME;metro;263499471;2.3286613;48.8452766;Notre-Dame des Champs;42;0;0
1769;2.368674236;48.86451562;Oberkampf;PARIS-11EME;metro;256896059;2.3695694;48.8641314;Oberkampf;78;0;0
1770;2.338557558;48.85224894;Odéon;PARIS-06EME;metro;260079008;2.3394266;48.8521785;Odéon;64;0;0
171507;2.367297012;48.8268583;Olympiades;PARIS-13EME;metro;264491193;2.3662163;48.8269184;Olympiades;79;0;0
1771;2.331805156;48.87070294;Opéra;PARIS-09EME;metro;243510336;2.3322643;48.8707693;Opéra;34;0;0
11038;2.358721419;48.72851347;Orly-Ouest;ORLY;metro;83347724;2.3600059;48.7296445;Orly Ouest;157;1;1
11039;2.367959873;48.72783732;Orly-Sud;ORLY;metro;83349913;2.3712467;48.7292559;Orly Sud;288;1;1
1773;2.386029588;48.88697502;Ourcq;PARIS-19EME;metro;264772371;2.3867135;48.8869632;Ourcq;50;0;0
1774;2.335816612;48.86284682;Palais-Royal (Musée du Louvre);PARIS-01ER;metro;27362259;2.3361468;48.8623829;Palais Royal – Musée du Louvre;56;1;1
1779;2.375846795;48.86516061;Parmentier;PARIS-11EME;metro;243507790;2.3747542;48.8652193;Parmentier;80;0;0
1780;2.285865011;48.85763332;Passy;PARIS-16EME;metro;260765390;2.2859234;48.8573825;Passy;28;0;0
1781;2.312656445;48.84293835;Pasteur;PARIS-15EME;metro;260764273;2.3126019;48.8429457;Pasteur;4;0;0
1782;2.40135199;48.86851987;Pelleport;PARIS-20EME;metro;264796182;2.4014574;48.8680444;Pelleport;53;0;0
1741;2.386721812;48.86261316;Père-Lachaise;PARIS-11EME;metro;243490762;2.3874149;48.8628581;Père Lachaise;57;1;1
1740;2.297517049;48.88455033;Péreire;PARIS-17EME;metro;243510680;2.2982623;48.8847948;Péreire;60;0;0
1783;2.317663958;48.8338169;Pernéty;PARIS-14EME;metro;264712433;2.3180764;48.8339551;Pernéty;33;0;0
1784;2.389387391;48.85836547;Philippe Auguste;PARIS-11EME;metro;243490763;2.3901333;48.8582526;Philippe Auguste;55;0;0
1785;2.401255165;48.84526045;Picpus;PARIS-12EME;metro;264490283;2.4014945;48.8448796;Picpus;45;0;0
1786;2.377286623;48.81568366;Pierre et Marie Curie;IVRY-SUR-SEINE;metro;472985885;2.3773455;48.8159011;Pierre et Marie Curie;24;0;0
1787;2.337786129;48.88256179;Pigalle;PARIS-18EME;metro;243496024;2.3373703;48.8823612;Pigalle;37;0;0
1789;2.355721373;48.83140615;Place d'Italie;PARIS-13EME;metro;235371392;2.3555589;48.8314217;Place d'Italie;12;0;0
1790;2.327306822;48.88362337;Place de Clichy;PARIS-09EME;metro;243496027;2.3274515;48.8835165;Place de Clichy;15;0;0
1792;2.393473135;48.87681915;Place des Fêtes;PARIS-19EME;metro;264690371;2.3927856;48.8766403;Place des Fêtes;54;0;0
1788;2.352178451;48.8431961;Place Monge (Jardin des Plantes);PARIS-05EME;metro;264786014;2.3521239;48.8429311;Place Monge;29;1;1
1705;2.314067345;48.83176259;Plaisance;PARIS-14EME;metro;264712432;2.3140252;48.8317799;Plaisance;3;0;0
397629;2.465989829;48.76795787;Pointe du Lac;CRETEIL;metro;928458344;2.4643844;48.7687211;Créteil – Pointe du Lac;145;1;1
1706;2.349606239;48.87733955;Poissonnière;PARIS-10EME;metro;264775805;2.3492720;48.8772835;Poissonnière;25;0;0
1708;2.280489417;48.89711876;Pont de Levallois-Bécon;LEVALLOIS-PERRET;metro;255161921;2.2803140;48.8970740;Pont de Levallois;13;1;1
1709;2.259891725;48.88450938;Pont de Neuilly;NEUILLY-SUR-SEINE;metro;27333361;2.2577697;48.8856101;Pont de Neuilly;197;0;0
1710;2.230253648;48.82959298;Pont de Sèvres;BOULOGNE-BILLANCOURT;metro;370455978;2.2308732;48.8296613;Pont de Sèvres;45;0;0
1711;2.357458816;48.85331075;Pont Marie (Cité des Arts);PARIS-04EME;metro;264785952;2.3570872;48.8535245;Pont Marie;36;1;1
1712;2.341949236;48.85840225;Pont Neuf;PARIS-01ER;metro;264784170;2.3424101;48.8585901;Pont Neuf;39;0;0
1717;2.258647827;48.84807378;Porte d'Auteuil;PARIS-16EME;metro;264535735;2.2583922;48.8477655;Porte d'Auteuil;39;0;0
1718;2.359855803;48.81893461;Porte d'Italie;PARIS-13EME;metro;268467559;2.3595818;48.8191302;Porte d'Italie;29;0;0
1719;2.369094944;48.8212705;Porte d'Ivry;PARIS-13EME;metro;472985884;2.3693224;48.8216697;Porte d'Ivry;47;0;0
1720;2.324805553;48.82260129;Porte d'Orléans (Général Leclerc);PARIS-14EME;metro;220289379;2.3256282;48.8228800;Porte d'Orléans;67;1;1
1714;2.276648075;48.8716448;Porte Dauphine (Maréchal de Lattre de Tassigny);PARIS-16EME;metro;243496729;2.2768954;48.8714638;Porte Dauphine;27;1;1
1721;2.407999953;48.8643963;Porte de Bagnolet;PARIS-20EME;metro;243507234;2.4088741;48.8644893;Porte de Bagnolet;64;0;0
1722;2.292742041;48.88555072;Porte de Champerret;PARIS-17EME;metro;243510681;2.2926417;48.8856871;Porte de Champerret;16;0;0
1723;2.399701099;48.83252589;Porte de Charenton;PARIS-12EME;metro;264491320;2.3989811;48.8322556;Porte de Charenton;60;0;0
1724;2.364346445;48.82014522;Porte de Choisy;PARIS-13EME;metro;472985883;2.3647992;48.8201086;Porte de Choisy;33;0;0
1725;2.313738343;48.89436116;Porte de Clichy;PARIS-17EME;metro;261611873;2.3144508;48.8939450;Porte de Clichy;69;0;0
1726;2.344778877;48.89728706;Porte de Clignancourt;PARIS-18EME;metro;264506165;2.3447674;48.8973767;Porte de Clignancourt;10;0;0
1734;2.359091542;48.89807167;Porte de la Chapelle;PARIS-18EME;metro;264505930;2.3592969;48.8977084;Porte de la Chapelle;43;0;0
1735;2.385806113;48.89781022;Porte de la Villette;PARIS-19EME;metro;264778142;2.3854377;48.8974296;Porte de la Villette;50;0;0
1727;2.410434449;48.8534495;Porte de Montreuil;PARIS-20EME;metro;256442276;2.4105242;48.8534759;Porte de Montreuil;7;0;0
1728;2.391468614;48.88833274;Porte de Pantin;PARIS-19EME;metro;264772861;2.3927045;48.8885434;Porte de Pantin;93;0;0
1729;2.256802515;48.83788839;Porte de Saint-Cloud;PARIS-16EME;metro;260767430;2.2565741;48.8377707;Porte de Saint-Cloud;21;0;0
1730;2.32883767;48.89725105;Porte de Saint-Ouen;PARIS-18EME;metro;265060832;2.3290349;48.8973729;Porte de Saint-Ouen;19;0;0
1731;2.305340149;48.82767569;Porte de Vanves;PARIS-14EME;metro;264713507;2.3053401;48.8276757;Porte de Vanves;0;0;0
1732;2.288002796;48.83246198;Porte de Versailles;PARIS-15EME;metro;134305192;2.2884024;48.8326135;Porte de Versailles;33;0;0
1733;2.408883525;48.84726571;Porte de Vincennes;PARIS-20EME;metro;27371900;2.4072293;48.8474233;Porte de Vincennes;122;0;0
1736;2.406385823;48.87706999;Porte des Lilas;PARIS-20EME;metro;264690368;2.4064920;48.8770405;Porte des Lilas;8;0;0
1715;2.406018353;48.83543889;Porte Dorée;PARIS-12EME;metro;264482297;2.4063451;48.8354584;Porte Dorée;24;0;0
1716;2.281836173;48.8779645;Porte Maillot;PARIS-17EME;metro;27362239;2.2815392;48.8781189;Porte Maillot;27;0;0
1737;2.399076897;48.87993496;Pré-Saint-Gervais;PARIS-19EME;metro;264794353;2.3989340;48.8800010;Pré Saint-Gervais;12;1;1
1738;2.333665066;48.8669463;Pyramides;PARIS-01ER;metro;264494507;2.3344599;48.8656737;Pyramides;152;0;0
50047;2.333665066;48.8669463;Pyramides;PARIS-02EME;metro;264494507;2.3344599;48.8656737;Pyramides;152;0;0
55330;2.384889839;48.87389078;Pyrenees;PARIS-20EME;metro;264690372;2.3850847;48.8738078;Pyrénées;16;1;1
1742;2.373783885;48.83739895;Quai de la Gare;PARIS-13EME;metro;235374383;2.3729129;48.8370750;Quai de la Gare;73;0;0
1743;2.367035634;48.8457952;Quai de la Rapée;PARIS-12EME;metro;258068724;2.3659107;48.8464740;Quai de la Rapée;111;0;0
1744;2.335742475;48.86937293;Quatre Septembre;PARIS-02EME;metro;243510335;2.3367072;48.8695654;Quatre Septembre;73;0;0
1745;2.353504962;48.86140004;Rambuteau;PARIS-04EME;metro;264592424;2.3535761;48.8612740;Rambuteau;14;0;0
1659;2.26997975;48.85539203;Ranelagh;PARIS-16EME;metro;260767425;2.2702166;48.8555764;Ranelagh;26;0;0
1660;2.330583097;48.83896371;Raspail;PARIS-14EME;metro;220289389;2.3308032;48.8389018;Raspail;17;0;0
1676;2.352035255;48.86631183;Réaumur-Sébastopol;PARIS-02EME;metro;243507794;2.3524557;48.8663020;Réaumur – Sébastopol;30;1;1
1661;2.328083051;48.84805443;Rennes;PARIS-06EME;metro;263499468;2.3277965;48.8481026;Rennes;21;0;0
